"STUDY_ID","REVIEWERS","INCLUDE","X","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"50","joep_2a","YES","883","NC9ECRE3","journalArticle","2020","Hsu, Astrid J.; Kumagai, Joy; Favoretto, Fabio; Dorian, John; Guerrero Martinez, Benigno; Aburto-Oropeza, Octavio","driven by drones: improving mangrove extent maps using high-resolution remote sensing","Remote Sensing",NA,"2072-4292","10.3390/rs12233986","https://www.mdpi.com/2072-4292/12/23/3986","this study investigated how different remote sensing techniques can be combined to accurately monitor mangroves. in this paper, we present a framework to use drone imagery to calculate correction factors which can improve the accuracy of satellite-based mangrove extent. we focus on semi-arid dwarf mangroves of baja california sur, mexico, where the mangroves tend to be stunted in height and found in small patches, as well as larger forests. using a dji phantom 4 pro, we imaged mangroves and labeled the extent by manual classification in qgis. using arcgis, we compared satellite-based mangrove extent maps from global mangrove watch (gmw) in 2016 and mexico’s national government agency (national commission for the knowledge and use of biodiversity, conabio) in 2015, with extent maps generated from in situ drone studies in 2018 and 2019. we found that satellite-based extent maps generally overestimated mangrove coverage compared to that of drone-based maps. to correct this overestimation, we developed a method to derive correction factors for gmw mangrove extent. these correction factors correspond to specific pixel patterns generated from a convolution analysis and mangrove coverage defined from drone imagery. we validated our model by using repeated k-fold cross-validation, producing an accuracy of 98.3% ± 2.1%. overall, drones and satellites are complementary tools, and the rise of machine learning can help stakeholders further leverage the strengths of the two tools, to better monitor mangroves for local, national, and international management.","2020-01","2024-01-19 12:18:36","2024-01-19 12:18:36","2024-01-19 12:18:36","3986",NA,"23","12",NA,NA,"Driven by Drones",NA,NA,NA,NA,NA,NA,"en","http://creativecommons.org/licenses/by/3.0/",NA,NA,NA,"www.mdpi.com",NA,"Number: 23 Publisher: Multidisciplinary Digital Publishing Institute",NA,"/Users/ninaleach/Zotero/storage/X2NFME8H/Hsu et al. - 2020 - Driven by Drones Improving Mangrove Extent Maps U.pdf",NA,NA,"area correction; convolution; geographic information systems; international commitments; monitoring; unmanned aerial vehicles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","joep_2a","YES","47","DXL9Q2CL","journalArticle","2022","Huang, Junpeng; Wu, Xiyong; Ling, Sixiang; Li, Xiaoning; Wu, Yuxin; Peng, Lei; He, Zhiyi","a bibliometric and content analysis of research trends on gis-based landslide susceptibility from 2001 to 2020","Environmental Science and Pollution Research International",NA,"1614-7499","10.1007/s11356-022-23732-z",NA,"to assess the status of hotspots and research trends on geographic information system (gis)-based landslide susceptibility (ls), we analysed 1142 articles from the thomas reuters web of science core collection database published during 2001-2020 by combining bibliometric and content analysis. the paper number, authors, institutions, corporations, publication sources, citations, and keywords are noted as sub/categories for the bibliometric analysis. thematic ls data, including the study site, landslide inventory, conditioning factors, mapping unit, susceptibility models, and mode fit/prediction performance evaluation, are presented in the content analysis. then, we reveal the advantages and limitations of the common approaches used in thematic ls data and summarise the development trends. the results indicate that the distribution of articles shows clear clusters of authors, institutions, and countries with high academic activity. the application of remote sensing technology for interpreting landslides provides a more convenient and efficient landslide inventory. in the landslide inventory, most of the sample strategies representing the landslides are point and polygon, and the most frequently used sample subdividing strategy is random sampling. the scale effects, lack of geographic consistency, and no standard are key problems in landslide conditioning factors. feature selection is used to choose the factors that can improve the model's accuracy. with advances in computing technology and artificial intelligence, ls models are changing from simple qualitative and statistical models to complex machine learning and hybrid models. finally, five future research opportunities are revealed. this study will help investigators clarify the status of ls research and provide guidance for future research.","2022-12","2024-01-18 14:54:01","2024-01-19 10:25:45",NA,"86954-86993",NA,"58","29",NA,"Environ Sci Pollut Res Int",NA,NA,NA,NA,NA,NA,NA,"eng",NA,NA,NA,NA,"PubMed",NA,"PMID: 36279056",NA,"; ; ; ; ","https://media.proquest.com/media/hms/PFT/1/dVOyP?_a=ChgyMDI0MDExNjA4MTUyNTcwOTo1OTM2OTASBjEwMjAyMBoKT05FX1NFQVJDSCIOMTMyLjIyOS45Mi4xMDAqBTU0MjA4MgoyNzM3MjY4NDE0OhhPcGVuTGF5ZXJTaW5nbGVQYWdlSW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyMi8xMi8wMXIKMjAyMi8xMi8zMXoAggEfUC0xMDAwMDg0LTEyMDQ1LVNUQUZGLW51bGwtbnVsbJIBBk9ubGluZcoBdU1vemlsbGEvNS4wIChNYWNpbnRvc2g7IEludGVsIE1hYyBPUyBYIDEwXzE1XzcpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS8xMjAuMC4wLjAgU2FmYXJpLzUzNy4zNtIBElNjaG9sYXJseSBKb3VybmFsc5oCB1ByZVBhaWSqAitPUzpFTVMtTWVkaWFMaW5rc1NlcnZpY2UtZ2V0TWVkaWFVcmxGb3JJdGVtygIPQXJ0aWNsZXxGZWF0dXJl0gIBWfICAPoCAU6CAwNXZWKKAxxDSUQ6MjAyNDAxMTYwODE1MjU3MDk6NDAyOTc2&_s=8C6MiFRKXdJV6zvu%2Fgrd%2F2vPxOk%3D; https://media.proquest.com/media/hms/PFT/1/dVOyP?_a=ChgyMDI0MDExNjA4MTUyNTcwOTo1OTM2OTASBjEwMjAyMBoKT05FX1NFQVJDSCIOMTMyLjIyOS45Mi4xMDAqBTU0MjA4MgoyNzM3MjY4NDE0OhhPcGVuTGF5ZXJTaW5nbGVQYWdlSW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyMi8xMi8wMXIKMjAyMi8xMi8zMXoAggEfUC0xMDAwMDg0LTEyMDQ1LVNUQUZGLW51bGwtbnVsbJIBBk9ubGluZcoBdU1vemlsbGEvNS4wIChNYWNpbnRvc2g7IEludGVsIE1hYyBPUyBYIDEwXzE1XzcpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS8xMjAuMC4wLjAgU2FmYXJpLzUzNy4zNtIBElNjaG9sYXJseSBKb3VybmFsc5oCB1ByZVBhaWSqAitPUzpFTVMtTWVkaWFMaW5rc1NlcnZpY2UtZ2V0TWVkaWFVcmxGb3JJdGVtygIPQXJ0aWNsZXxGZWF0dXJl0gIBWfICAPoCAU6CAwNXZWKKAxxDSUQ6MjAyNDAxMTYwODE1MjU3MDk6NDAyOTc2&_s=8C6MiFRKXdJV6zvu%2Fgrd%2F2vPxOk%3D; http://catalogue.leidenuniv.nl/openurl/UBL/UBL_services_page?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3A&atitle=A+bibliometric+and+content+analysis+of+research+trends+on+GIS-based+landslide+susceptibility+from+2001+to+2020&title=Environmental+Science+and+Pollution+Research&issn=09441344&date=2022-12-01&volume=29&issue=58&spage=86954&au=Huang%2C+Junpeng%3BWu%2C+Xiyong%3BLing%2C+Sixiang%3BLi%2C+Xiaoning%3BWu%2C+Yuxin%3BPeng%2C+Lei%3BHe%2C+Zhiyi&isbn=&jtitle=Environmental+Science+and+Pollution+Research&btitle=&rft_id=info:eric/&rft_id=info:doi/10.1007%2Fs11356-022-23732-z; http://catalogue.leidenuniv.nl/openurl/UBL/UBL_services_page?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3A&atitle=A+bibliometric+and+content+analysis+of+research+trends+on+GIS-based+landslide+susceptibility+from+2001+to+2020&title=Environmental+Science+and+Pollution+Research&issn=09441344&date=2022-12-01&volume=29&issue=58&spage=86954&au=Huang%2C+Junpeng%3BWu%2C+Xiyong%3BLing%2C+Sixiang%3BLi%2C+Xiaoning%3BWu%2C+Yuxin%3BPeng%2C+Lei%3BHe%2C+Zhiyi&isbn=&jtitle=Environmental+Science+and+Pollution+Research&btitle=&rft_id=info:eric/&rft_id=info:doi/10.1007%2Fs11356-022-23732-z; http://www.ncbi.nlm.nih.gov/pubmed/36279056",NA,"Artificial Intelligence; Bibliometric analysis; Bibliometrics; Content analysis; Geographic Information Systems; GIS; Landslide susceptibility; Landslides; Machine learning; Remote Sensing Technology; Research trends",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","joep_2a","YES","483","PVYZ2GPW","journalArticle","2020","Kako, Shin'ichiro; Morita, Shohei; Taneda, Tetsuya","estimation of plastic marine debris volumes on beaches using unmanned aerial vehicles and image processing based on deep learning","Marine Pollution Bulletin",NA,"0025-326X","10.1016/j.marpolbul.2020.111127","https://www.sciencedirect.com/science/article/pii/S0025326X20302459","plastic marine debris (pmd) is of global concern. to help address this problem, a novel approach for estimating pmd volumes using a combination of unmanned aerial vehicle (uav) surveys and image processing based on deep learning is proposed. a three-dimensional model and orthoscopic image of a beach, constructed via structure from motion software using uav-derived data, enabled pmd volumes to be computed by edge detection through image processing. the accuracy of the method was verified by estimating the volumes of test debris placed on a beach in known sizes and shapes. the proposed approach shows potential for estimating pmd volumes with an error of <5%. compared with subjective methods based on beach surveys, this approach can accurately, rapidly, and objectively calculate the pmd volume on a beach and can be used to improve the efficiency of beach surveys and identify beaches that need preferential cleaning.","2020-06-01","2024-01-19 10:23:40","2024-01-19 10:23:40",NA,"111127",NA,NA,"155",NA,"Marine Pollution Bulletin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning; Image processing; Plastic marine debris; UAV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","joep_2a","NO","102","Y7ZV2LG9","journalArticle","2019","Sietz, Diana; Frey, Ulrich; Roggero, Matteo; Gong, Yanqing; Magliocca, Nicholas; Tan, Rong; Janssen, Peter; Václavík, Tomáš","archetype analysis in sustainability research","Ecology and Society",NA,"17083087","10.5751/ES-11103-240334","https://www.jstor.org/stable/26796999","[in sustainability research, archetype analysis reveals patterns of factors and processes that repeatedly shape socialecological systems. these patterns help improve our understanding of global concerns, including vulnerability, land management, food security, and governance. during the last decade, the portfolio of methods used to investigate archetypes has been growing rapidly. however, these methods differ widely in their epistemological and normative underpinnings, data requirements, and suitability to address particular research purposes. therefore, guidance is needed for systematically choosing methods in archetype analysis. we synthesize strengths and weaknesses of key methods used to identify archetypes. demonstrating that there is no “one-size-fits-all” approach, we discuss advantages and shortcomings of a range of methods for archetype analysis in sustainability research along gradients that capture the treatment of causality, normativity, spatial variations, and temporal dynamics. based on this discussion, we highlight seven analytical frontiers that bear particular potential for tackling methodological limitations. as a milestone in archetype analysis, our synthesis supports researchers in reflecting on methodological implications, including opportunities and limitations related to causality, normativity, space, and time considerations in view of specific purposes and research questions. this enables innovative research designs in future archetype analysis, thereby contributing to the advancement of sustainability research and decision-making.]","2019","2024-01-19 10:21:47","2024-01-19 10:21:52","2024-01-15",NA,NA,"3","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JSTOR",NA,NA,NA,"Publisher: Resilience Alliance Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","joep_2a","NO","357","KNWWFLUI","journalArticle","2021","Jiang, Chong; Yang, Zhiyuan; Wen, Meili; Huang, Li; Liu, Haimeng; Wang, Jun; Chen, Weilian; Zhuang, Changwei","identifying the spatial disparities and determinants of ecosystem service balance and their implications on land use optimization","Science of The Total Environment",NA,"0048-9697","10.1016/j.scitotenv.2021.148472","https://www.sciencedirect.com/science/article/pii/S0048969721035440","ecosystem services (ess) are increasingly affected by human interventions, and the es balance between supply and demand plays a vital role in guaranteeing the expected efficacy of ecosystem restoration projects. however, the spatial disparities of es balance, along with its determinants and spillover effects, remain unclear, constraining effective es management and landscape planning. the aim of this study was to fill these gaps by quantifying the es balance in the restoring loess plateau using an expert-based es matrix approach and by examining the spatial associations between es balance and driving factors via an integrated regression approach. the results showed that the county-scale es balance was closely related to the land-use composition and population density. geographic locations of counties with es surplus were mainly concentrated in mountainous areas with high proportions of woodland and grassland, while urbanized land and a high population density resulted in an es deficit. forest and grass regeneration, due to revegetation practices, alleviated es deficits, while rapid urbanization and population growth aggravated es imbalance. the integrated regression approach demonstrated that the es balance and its dependencies (i.e., landscape metrics and population density) had remarkable spatial heterogeneity and spillover effects, which should be practically considered in localized es management and landscape optimization. excessive agricultural reclamation and urban expansion improved grain productivity and economic profits but deteriorated landscape fragmentation, further aggravating the es deficit. in contrast, excessive revegetation practices promoted ecosystem restoration and improved es surplus but threatened food security. therefore, an appropriate balanced state should be maintained for sustainable ecosystem restoration through timely and efficient policy interventions and landscape optimization.","2021-11-01","2024-01-19 10:23:31","2024-01-19 10:23:31",NA,"148472",NA,NA,"793",NA,"Science of The Total Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deficit; Determinant; Integrated regression approach; Loess Plateau; Surplus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","joep_2a","NO","255","LTGLBVA3","journalArticle","2023","Hassan, Asmaa M.","umc-based models: an integrating umc performance analysis and numerical methods","Renewable and Sustainable Energy Reviews",NA,"1364-0321","10.1016/j.rser.2023.113307","https://www.sciencedirect.com/science/article/pii/S1364032123001636","urbanization and climate change represent major public health challenges, impacting several approaches, including urban microclimate (umc) performance. umc studies adopt several methods to analyze and mitigate such impacts like numerical methods. consequently, the current study focuses on umc performance and associated numerical methods, which can be called umc-based models. however, the question keeps considering which tool can be used to examine umc performance, whereas it requires experience. therefore, this study aims to highlight the guidance of umc-based models and their possibilities, insights, and opportunities. a bibliometric analysis is conducted based on database development from 1991 to 2022 and both biblioshiny and vosviewer tools. the evolution of the yearly publications and prominent bibliometric analyses are explored. the results reveal the continuous evolution of umc-based models and hotspots related to “urban morphology”, and “vegetation” keywords. however, the categories of “air quality”, “urban ventilation”, and “climate change” present significant topics but need more investigation. further efforts are needed to develop “umc modeling” and its associated opportunities related to application fields, in the context of “optimization”, “data-driven”, and “coupled models”, which present trending up and a significant paradigm shift toward umc performance. moreover, the proposed matrix provides umc-based models, and their classifications to outline their possibilities, insights, and opportunities. such comprehensive results can provide multi-scale opportunities to develop umc-based models and their application fields, which serves as research guidance to not only select but also develop appropriate and innovative tools or coupled tools associated with umc performance in response to associated umc challenges.","2023-07-01","2024-01-19 10:23:27","2024-01-19 10:23:27",NA,"113307",NA,NA,"181",NA,"Renewable and Sustainable Energy Reviews",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coupled models; Data-driven models; Numerical methods; Simulation-based models; UMC performance; Urban microclimate (UMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","joep_2a","NO","595","TSH4D26G","journalArticle","2021","Oyedotun, Temitope D. Timothy; Burningham, Helene","the need for data integration to address the challenges of climate change on the guyana coast","Geography and Sustainability",NA,"2666-6839","10.1016/j.geosus.2021.11.003","https://www.sciencedirect.com/science/article/pii/S2666683921000754","guyana's capacity to address the impacts of climate change on its coastal environment requires the ability to monitor, quantify and understand coastal change over short-, medium- and long- term. understanding the drivers of change in coastal and marine environment can be achieved through the accurate measurement and critical analyses of morphologies, flows, processes and responses. this manuscript presents a strategy developed to create a central resource, database and web-based platform to integrate data and information on the drivers and the changes within guyana coastal and marine environment. the strategy involves four complimentary work packages including data collection, development of a platform for data integration, application of the data for coastal change analyses and consultation with stakeholders. the last aims to assess the role of the integrated data systems to support strategic governance and sustainable decision-making. it is hoped that the output of this strategy would support the country's climate-focused agencies, organisations, decision-makers, and researchers in their tasks and endeavours.","2021-12-01","2024-01-19 10:23:44","2024-01-19 10:23:44",NA,"288-297",NA,"4","2",NA,"Geography and Sustainability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Climate adaptation; Climate mitigation; Data integration; Data needs; Web-based platform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","joep_2a","YES","134","TJT4EQNG","journalArticle","2022","Jarray, Noureddine; Ben Abbes, Ali; Rhif, Manel; Dhaou, Hanen; Ouessar, Mohamed; Farah, Imed Riadh","smetool: a web-based tool for soil moisture estimation based on eo-learn framework and machine learning methods","Environmental Modelling & Software",NA,"1364-8152","10.1016/j.envsoft.2022.105505","https://www.sciencedirect.com/science/article/pii/S1364815222002079","earth observation (eo) technologies have played an increasingly important role in monitoring the sustainable development goals (sdg). these technologies often combined with machine learning (ml) models provide efficient means for achieving the sdgs. the great progress of this combination is also demonstrated by the large number of software, web tools and packages that have been made available for free use. in this paper, we introduce a software architecture to facilitate the generation of eo information targeted towards soil moisture that derive several challenges regarding the facilitation of satellite data processing. thus, this paper presents a web-based tool for soil moisture estimation (smetool), designed for the soil moisture estimation using sentinel-1a and sentinel-2a data based on eo-learn library. smetool implements several ml techniques such as (artificial neural network (ann), random forest (rf), convolutional neural network (cnn), etc.). the smetool could be very useful for decision makers in the region in assessing the effects of drought and desertification events. experiments were carried out on two sites in tunisia during the period from 2016 to 2017. although the performance of the used models is very close, it is clear that cnn and rf outperformed other ml models. the achieved results reveal that the soil moisture, was highly correlated to the in-situ measurements with high pearson’s correlation coefficient r (rrf=0.86, rann=0.75, rxgboost=0.79, rcnn=0.87) and low root mean square error (rmse) (rmserf = 1.09%, rmseann = 1.49%, rmsexgboost = 1.39%, rmsecnn = 1.12%), respectively.","2022-11-01","2024-01-19 10:23:09","2024-01-19 10:23:09",NA,"105505",NA,NA,"157",NA,"Environmental Modelling & Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eo-learn; Machine learning; Open source data; Sentinel-1A and 2A; Soil moisture estimation; Web-based tool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","joep_2a","NO","680","EDQWP2AE","journalArticle","2022","Tian, Yunyu; Tsendbazar, Nandin-Erdene; van Leeuwen, Eveline; Fensholt, Rasmus; Herold, Martin","a global analysis of multifaceted urbanization patterns using earth observation data from 1975 to 2015","Landscape and Urban Planning",NA,"0169-2046","10.1016/j.landurbplan.2021.104316","https://www.sciencedirect.com/science/article/pii/S0169204621002796","urbanization as a global phenomenon is a multifaceted process. here we do the first global attempt to characterize the complexity of urbanization from 1975 to 2015 in terms of population, built-up structure, and greenness per 5 × 5 km2 grid covering global inhabited areas, using earth observation data sources. our results emphasize the multifaceted nature of urbanization that varies greatly across regions and times, in addition to the steady expansion of built-up land. increased population density and built-up patch density were the dominant characteristics in asia and africa, while urbanization in europe and north america took a rather steady pace, combined with widespread greening. according to the urbanization types identified by a self-organizing map (som) algorithm, a large proportion of urban and suburban areas experienced two dynamic urbanization types – built-up extension/leapfrog and built-up infill with large population increase. during different historical periods (1975–1990, 1990–2000, and 2000–2015), annual rates of increase in population and built-up density were slowing coinciding with an increasing greenness – signaling that urbanization processes are becoming less intense, more compact, and ‘greener’ over the most recent period. our findings facilitate the comprehensive understanding of global urbanization that is a complex process with many local variations and characteristics, and underscore the need for region-based strategies towards sustainable development instead of a ‘one-size-fits-all’ policy for cities.","2022-03-01","2024-01-19 10:23:47","2024-01-19 10:23:47",NA,"104316",NA,NA,"219",NA,"Landscape and Urban Planning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Built-up expansion; Greenness loss; Population change; Social–land cover–environment interactions; Urbanization types",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","joep_2a","NO","511","PA87SHKM","journalArticle","2020","Wu, Bingfang; Tian, Fuyou; Zhang, Miao; Zeng, Hongwei; Zeng, Yuan","cloud services with big data provide a solution for monitoring and tracking sustainable development goals","Geography and Sustainability",NA,"2666-6839","10.1016/j.geosus.2020.03.006","https://www.sciencedirect.com/science/article/pii/S2666683920300109","to achieve the sustainable development goals (sdgs), high-quality data are needed to inform the formulation of policies and investment decisions, to monitor progress towards the sdgs and to evaluate the impacts of policies. however, the data landscape is changing. with emerging big data and cloud-based services, there are new opportunities for data collection, influencing both official data collection processes and the operation of the programmes they monitor. this paper uses cases and examples to explore the potential of crowdsourcing and public earth observation (eo) data products for monitoring and tracking the sdgs. this paper suggests that cloud-based services that integrate crowdsourcing and public eo data products provide cost-effective solutions for monitoring and tracking the sdgs, particularly for low-income countries. the paper also discusses the challenges of using cloud services and big data for sdg monitoring. validation and quality control of public eo data is very important; otherwise, the user will be unable to assess the quality of the data or use it with confidence.","2020-03-01","2024-01-19 10:23:41","2024-01-19 10:23:41",NA,"25-32",NA,"1","1",NA,"Geography and Sustainability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Big data; Cloud services; Monitoring; SDGs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","joep_2a","NO","672","LATQ3L68","journalArticle","2023","Gong, Li; Zhang, Xiang; Pan, Guoyan; Zhao, Jingyi; Zhao, Ye","hydrological responses to co-impacts of climate change and land use/cover change based on cmip6 in the ganjiang river, poyang lake basin","Anthropocene",NA,"2213-3054","10.1016/j.ancene.2023.100368","https://www.sciencedirect.com/science/article/pii/S2213305423000012","climate change and land use/cover change, affected by human activity, are the two main factors influencing the regional water cycle and water management. however, studies of co-impacts based on future scenario predictions are still lacking. this study proposed a complete methodology for simulating future changes in water resources and distinguishing the independent and synergistic effects of climate change and land use change. the coupling prediction model of land use and the global climate models were used for scenario predictions; the hydrological model and statistical methods were used for simulations and analyses. the ganjiang river, the largest tributary of poyang lake, is chosen as the study area. in the future, the main trend of change in land use would be the expansion of construction land in the northern part of the basin, and the future annual precipitation and temperature (p < 0.5) would increase. in this basin, runoff is more sensitive to climate change than to land use/cover change, and the synergistic effects are not substantial. most climate scenarios showed a significant change in monthly peak runoff. the current peak is in june; this is projected to decrease with the simulated future peak in august, causing problems in basin flood control and poyang lake water level regulation. this study proposed a methodology integrating the global climate models with predicted land use scenarios and tested the feasibility at the watershed scale by the case study. it can serve as a reference for co-impact studies considering different scenarios and be extended to basins with similar areas, underlying surface variation intensity, or hydro-climatic characteristics, valuable for sustainable water resources management in the anthropocene.","2023-03-01","2024-01-19 10:23:46","2024-01-19 10:23:46",NA,"100368",NA,NA,"41",NA,"Anthropocene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Global climate models; Hydrological response; Land Use/Cover Change; Poyang Lake Basin; Streamflow; Two-Factor Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","joep_2a","YES","45","HJGSK4QU","journalArticle","2022","B. Wu; C. Yang; Z. Chen; Q. Wu; S. Yu; C. Wang; Q. Li; J. Wu; B. Yu","the relationship between urban 2-d/3-d landscape pattern and nighttime light intensity","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing",NA,"2151-1535","10.1109/JSTARS.2021.3135488",NA,"as spatial and socioeconomic processes are the two key aspects of urban development, revealing the relationship between these two key aspects is critical. previous studies attempted to explain their correlation at the city or region level using built-up area metrics and nighttime light (ntl) data. however, more comprehensive studies on urban interior spatial characteristics and their relationship to ntl intensity are lacking in a three-dimension space. using luojia 1-01 nighttime light data, lidar digital surface model data, and other auxiliary data, this study applies an extreme gradient boosting regression model and sharpley additive explanations method to model and interpret the relationship between two-dimensional (2-d)/3-d landscape patterns and ntl intensity. two study areas were selected to investigate the landscape–ntl relationship at the parcel and subdistrict levels. the major findings of this study include the following: 1) 2-d and 3-d urban landscape patterns have a close relationship with ntl intensity at the parcel and subdistrict scales; 2) the combinational metric of 2-d and 3-d landscape patterns has a stronger relationship with ntl intensity than either the 2-d or 3-d landscape metrics alone; 3) the correlations between most landscape metrics and ntl intensity are not simply positive or negative but change as metrics grow; and 4) the urban socioeconomic level is not only related to a single landscape metric sometimes but tends to the result of metrics interaction. these findings may help urban planners and government officials make more reasonable urban landscape planning policies under the goal of sustainable development.","2022","2024-01-16 09:24:08","2024-01-19 10:59:37",NA,"478-489",NA,NA,"15",NA,"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
